Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Middle income,MIC,160.2257497,142.0029778,143.2618166,148.3225384,163.4127463,188.8564494,190.4186292,190.9405286,197.5926668,215.8595921,231.2992138,244.4850429,269.2715426,335.1172379,415.4849061,441.7717333,474.6423632,525.4709405,559.2495272,654.6527698,751.828082,796.8270211,771.6000216,740.4997842,737.7844462,761.1029351,778.1239112,785.1997824,831.9826727,871.1444537,934.9303641,930.7000495,958.8126797,982.4121702,1069.205084,1173.50443,1258.177886,1311.588788,1248.43401,1197.82172,1293.308394,1289.186889,1298.319335,1467.740232,1724.778882,2029.891926,2387.9031,2924.600202,3462.423295,3317.070105,3964.171178
North America,NAC,2827.99634,2870.725858,3030.339544,3152.035445,3341.346704,3579.41396,3882.845024,4060.572782,4389.84952,4698.973365,4907.853839,5278.945172,5761.178659,6394.821359,6944.842566,7500.701044,8328.925215,9102.546584,10098.92534,11158.15862,12057.7379,13384.17522,13764.50542,14815.08222,16241.62487,17207.90096,17999.81425,19047.1834,20487.84925,21865.26468,22831.34209,23222.70715,24002.60016,24750.87699,25862.7495,26821.49837,27973.1935,29391.44371,30574.79075,32188.47071,33953.34069,34648.97596,35507.91233,37158.53265,39384.25506,41790.95496,44101.66912,46052.10125,46604.88289,44754.03026,46580.30996
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,1334.593307,1380.755199,1471.659679,1564.879258,1688.600514,1810.44029,1965.203947,2085.453323,2236.109675,2423.586074,2599.886546,2847.778638,3272.8539,3922.565685,4349.371331,4832.553127,5196.828558,5810.122929,6912.372411,7907.323289,8697.593404,8776.207797,8564.081052,8771.021014,9108.286249,9522.621249,11457.21446,13138.94146,14702.30441,15267.73513,17023.75104,17837.18168,18989.27903,19024.01698,20161.6618,21978.51515,21949.13953,21470.8619,21521.218,22465.15619,22761.85549,22391.66737,23223.28851,25908.2516,28604.1958,29972.20436,31387.34479,34111.06831,35855.20847,33282.81861,34622.09065
Other small states,OSS,,,,,,,,,,,,,,,,,755.0138897,756.14868,751.6074432,915.9796275,1142.452416,1056.726192,970.5176969,958.1202594,910.5688807,819.9552031,903.5282298,1029.977468,1171.326195,1220.200337,1500.478923,1497.777665,1578.680402,1481.800756,1500.749171,1655.007922,1709.673569,1703.162492,1592.293982,1663.507399,1713.593273,1695.356682,1716.297613,2173.03981,2681.074589,2993.662991,3263.700986,3790.944159,4465.336924,3726.973107,4340.877304
Pacific island small states,PSS,,,,,,,,,,,,,,,,873.5725671,858.243699,877.3042027,996.6046296,1195.30577,1329.21892,1338.615523,1277.837549,1197.6825,1284.122375,1194.727838,1277.454585,1238.83787,1280.310682,1322.394717,1406.297996,1480.19589,1596.882948,1654.477224,1869.965005,1988.935512,2103.877435,2070.859934,1756.129317,1889.60991,1727.316669,1664.069336,1732.913726,2020.168798,2306.137597,2491.148042,2588.646074,2823.875943,3010.021071,2579.936822,2840.173453
Small states,SST,247.9380909,264.1629267,274.3843258,283.1270104,305.1456002,326.3740063,346.2495833,365.1044041,360.1409963,386.1715316,417.194919,451.3325605,512.7950156,596.8975854,807.6276443,948.4321906,1016.991693,1100.892675,1113.228653,1294.671413,1572.58058,1585.16486,1610.698537,1601.692053,1516.046416,1427.630902,1391.430676,1505.636649,1629.753346,1662.064681,1885.647413,1871.788704,1906.529639,1871.286174,1939.080269,2118.501913,2230.802746,2329.997442,2319.880695,2434.785786,2547.830091,2549.60199,2619.453221,3031.424615,3500.895677,3920.929173,4298.347649,4866.819411,5603.455157,4698.006242,5250.677765
South Asia,SAS,83.39253542,65.42094442,64.98049919,70.91893373,78.8988991,117.9065436,96.71711024,104.0340846,106.7091955,114.4898047,120.5351587,125.627341,124.6570955,139.7724442,164.7115657,171.3978924,163.4151561,184.7267361,205.1148861,224.0633326,264.1000219,272.6336239,275.3483132,284.6659587,277.77916,293.5421152,303.7773945,329.7244211,345.8510381,340.2921956,358.982151,313.2660875,325.7236467,315.8840206,351.2532469,382.4288488,405.7337183,417.5933521,415.5508365,435.8546406,445.4104428,448.0116767,464.1727373,533.3956797,610.001326,688.6398278,769.3957606,962.244347,967.3244423,1045.37947,1253.019538
Sub-Saharan Africa (all income levels),SSF,128.9655478,130.6984767,138.3682131,154.9744927,147.3138879,160.1294082,168.6907015,162.4436657,169.5141048,189.4434589,217.2799789,215.1379688,236.4606318,294.7825227,374.0751011,400.9830653,424.3557766,453.3765771,492.542336,572.7673346,700.8306152,681.6130057,618.5868437,562.4481896,521.3093092,472.1443838,507.2129835,582.989501,596.9494862,603.1101017,585.8852084,590.3023794,571.8546776,530.107188,505.9676004,558.5222384,564.9775375,565.0870796,515.5733494,504.6819641,505.4283936,480.6443297,492.4456669,621.3139181,757.2862508,865.5276513,982.4608956,1112.14503,1230.142421,1123.834207,1336.142799
Sub-Saharan Africa (developing only),SSA,129.1146386,130.8478162,138.5243676,155.1456167,147.4653058,160.0708771,168.6320443,162.3701356,169.4766777,189.438953,217.3174353,215.1745292,236.5159747,294.842166,374.1683001,401.0593332,424.4484128,453.488199,492.6484108,572.880887,700.9683126,681.7568173,618.7345314,562.6015961,521.4679577,472.2992155,507.3620879,583.1588429,597.1219658,603.325743,586.0566961,590.4896544,571.9939861,530.2296092,506.1283769,558.6658631,564.9773425,564.7123465,515.2502222,503.7275605,503.9522632,478.4733267,489.7607934,617.6838278,750.7480843,855.2936369,970.7921246,1097.122703,1208.376331,1109.925292,1320.065836
Upper middle income,UMC,206.6220298,186.0321775,192.4566838,196.2979563,215.8243682,233.5651844,250.6146728,247.8548123,254.7041781,278.6795732,298.029224,319.5838517,356.2932209,455.3737955,561.0150541,597.0332252,635.5047576,699.7684616,737.5043867,878.2568784,987.5146812,1073.687599,1031.09108,990.7439047,997.77842,1035.5808,1066.842477,1048.69982,1132.269521,1212.892608,1315.907886,1335.705289,1379.275434,1432.748385,1572.003218,1730.96133,1860.480255,1959.726185,1907.051895,1778.266772,1942.72596,1944.649946,1938.294872,2198.497412,2621.177193,3124.912607,3692.926486,4545.800284,5496.365197,5223.189238,6259.030188
World,WLD,447.2141653,453.283128,477.3968642,503.0375965,539.7724809,583.8030477,620.1596307,646.4550169,683.0010209,736.1047608,784.6218322,849.1717184,961.5394027,1151.827867,1303.869348,1427.638139,1526.992114,1698.510112,1965.065988,2241.705209,2478.797819,2499.300516,2431.180294,2440.631511,2489.979915,2569.984676,2987.923511,3334.284625,3664.659105,3779.963605,4151.113517,4284.70943,4511.706661,4505.348535,4779.950363,5212.354561,5243.909606,5158.183815,5068.55615,5187.264823,5284.986418,5188.087356,5323.75402,5918.315964,6579.566084,7029.12275,7524.202036,8384.882838,9089.693516,8499.799245,9166.188073
Afghanistan,AFG,55.60699555,55.66865139,54.35964453,73.19877188,76.37302661,94.09873228,128.1145064,149.8911664,120.3514784,120.6551451,146.1680181,149.1969285,126.6948551,134.2056753,163.0041769,175.2366743,184.5522254,208.0139376,226.6939625,247.7604118,237.971524,222.1750694,,,,,,,,,,,,,,,,,,,,92.20611552,149.0522191,162.4135951,181.7615543,209.6350886,229.4853377,275.7688689,326.5102423,366.1817548,456.9615678
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,665.5966081,664.5672639,716.6067885,692.1112539,665.4451189,717.2070388,638.8921785,346.0729743,217.1583301,380.8089109,624.5350681,771.8625351,968.0719517,710.3147881,885.9086309,1117.705767,1200.137437,1329.385031,1440.030143,1819.397838,2388.729275,2666.14162,2893.157853,3377.221517,4076.402136,3795.688861,3700.738411
Algeria,DZA,252.1887386,221.2088524,178.5449164,236.6728565,249.6236661,263.0448594,248.5605729,268.1118214,297.5673725,319.1603216,353.8063512,358.4118392,463.1151569,578.9856049,850.914532,971.2663926,1072.279806,1228.711072,1495.878393,1826.013006,2251.067371,2281.025916,2249.596065,2350.427196,2505.393783,2621.82489,2799.405331,2852.420226,2458.434902,2255.199561,2452.454722,1762.991935,1807.491275,1838.300883,1533.005721,1476.200262,1630.657337,1647.505339,1623.922526,1616.020378,1794.405233,1781.053814,1814.55743,2131.345262,2624.207271,3111.703447,3508.908779,4005.224242,4966.571702,3951.910901,4566.891032
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,3226.792412,3484.824583,4200.997588,5319.381426,6283.924953,7107.981102,7068.172843,7632.382858,8945.759305,11510.87312,11958.24836,9916.458826,9082.260037,7513.290609,7222.288411,7313.091107,9906.814233,12348.5011,14360.73787,15524.4706,19498.40713,20126.75364,20946.08694,16599.48733,16123.09453,18218.91006,18765.59507,18190.37111,18864.27098,19377.04565,17539.442,19050.46312,21091.1866,26563.27958,30842.10145,32607.838,35349.47358,39874.8198,44952.39917,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,750.5632924,681.7715303,772.0672546,813.8259686,923.4511519,992.7568202,1144.574971,525.2605258,464.8009366,345.7030549,416.3148338,604.4015752,348.6075801,69.05117781,126.5704608,298.4058429,314.7109815,447.9390372,808.2775004,1187.808259,1856.958968,2573.990058,3526.119282,4414.062512,3511.757817,4237.347642
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,940.8748564,1061.28414,1307.915478,1567.276083,1787.259364,2005.026748,2260.891751,2601.326937,3076.522774,3810.041865,4510.692316,5404.526805,6004.047193,6295.141048,6539.645272,6641.844385,6998.022978,7475.72883,7199.457887,7680.256669,8017.640963,8357.420329,8578.691062,10143.36808,9831.510851,10017.8354,10392.51498,10926.31119,11940.1657,13436.03846,15079.12139,15591.63298,13829.83078,13006.30092
Argentina,ARG,,,1148.060334,844.6363075,1165.651106,1271.255275,1265.60249,1057.168443,1135.938174,1323.467118,1316.921941,1365.812694,1400.977104,2083.242231,2823.588622,2010.782193,1931.455419,2110.88243,2127.343809,2499.018792,2735.836419,2754.640839,2907.048461,3530.94275,2645.240195,2912.827628,3600.483606,3553.146963,3977.632453,2380.976361,4330.324573,5732.833843,6821.086043,6967.021353,7479.294721,7402.975001,7712.440458,8199.901173,8273.179024,7759.032261,7695.594073,7203.256653,2709.706375,3410.337808,3993.906484,4735.983684,5485.523115,6623.863698,8223.305584,7666.904916,9124.335133
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.68069,588.9796367,368.8694649,356.4333077,399.678676,455.5502761,503.4286819,522.9914498,609.0913217,597.1228404,621.4248263,690.9977831,776.3093877,917.1741484,1167.831655,1598.339949,2079.73361,2994.70899,3787.492151,2803.265534,3030.710627
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13490.71845,14038.88408,14926.21612,16229.51661,16441.99568,16611.35164,17987.61968,19180.24495,19480.6208,20589.77183,20558.91166,20203.53069,,,,,,,,
Australia,AUS,1808.221636,1874.304768,1850.173713,1963.025409,2127.36632,2277.16502,2338.708444,2574.481052,2719.15002,2985.944908,3300.111843,3490.125432,3942.635107,4763.915661,6474.99094,6992.440684,7477.5572,7764.100658,8240.033381,9281.914694,10198.71728,11849.6883,12777.06324,11523.84457,12454.20214,11461.71076,11361.09534,11617.86695,14285.36492,17827.37026,18250.95696,18872.65454,18611.30954,17678.28333,18113.63126,20395.92677,21948.58866,23540.06458,21364.20512,20578.82656,21708.03726,19541.42203,20100.9881,23445.59659,30375.82595,33944.9839,35986.06761,40352.39399,48971.67688,42000.01239,51085.68409
Austria,AUT,935.4604269,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,2037.616673,2356.515558,2894.006318,3850.748013,4583.17943,5231.314682,5620.045201,6740.653304,8121.163487,9693.141242,10757.86946,9288.82217,9313.662513,9439.417257,8898.688186,9077.859908,12948.65331,16224.34535,17398.01096,17289.46502,21458.23272,22180.65535,24624.53784,23834.107,25383.19881,30014.27275,29485.60821,26082.45851,26743.79194,26563.20954,23974.18307,23833.83424,25679.0944,31268.6307,35662.21182,37067.32383,39299.6143,45181.46759,49679.1107,45859.42555,44916.36084
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324492,1209.237493,676.1515115,530.0903798,436.1905586,397.1981161,409.2167452,505.5605732,561.9103017,573.8902562,655.0974326,703.6712504,763.1012122,883.614009,1045.026415,1578.36733,2472.997476,3851.325664,5574.603802,4950.294791,5843.169753
"Bahamas, The",BHS,1550.323279,1651.401909,1752.851781,1866.992057,1994.36129,2144.693191,2322.737595,2556.600812,2804.404636,3215.193295,3179.032512,3297.771387,3322.481251,3696.622227,3416.697732,3156.668608,3328.926397,3617.636613,4131.550473,5533.278625,6340.455689,6624.715404,7167.965702,7698.493445,8878.246674,9894.138655,10345.66431,11157.88729,11389.64238,12166.67792,12361.007,11927.23648,11698.48097,11422.19645,11832.57935,12256.32117,12722.21576,17273.06879,18424.15107,20476.93103,21258.29243,21606.50319,22753.34613,22402.62604,22540.62255,24130.35528,24580.14108,25296.38966,24715.65451,22807.43473,22664.85649
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,8583.987311,9320.241008,9499.445798,9476.02143,9647.493522,8758.953952,7084.667656,7603.008061,8010.6487,8082.854522,8581.587773,9110.637728,9142.006081,9768.289341,10209.53141,10462.8733,10613.52073,10707.17116,10117.09221,10564.06535,12489.46775,12340.56156,13224.70011,15062.02382,16725.72208,18570.7344,19539.98959,19955.10335,20813.13752,16517.77183,18184.19751
Bangladesh,BGD,85.32391469,93.48817671,95.91688812,97.65080106,96.05762209,102.2054825,107.9014684,117.5566938,117.4771528,129.3787575,134.4582252,128.9894117,91.85036568,117.0264652,179.0963102,274.7989254,139.9391335,130.316924,174.8389393,198.9458399,224.6793774,238.4421272,212.397434,196.1563882,218.974773,234.2044658,223.1492015,244.0888662,256.2278074,261.2467403,286.2427691,287.2580878,287.672525,294.4329053,293.4899228,322.9273746,339.0849875,345.8254406,353.2898259,359.1882207,363.6399273,356.1180112,354.3039819,380.2787218,407.9878558,428.7534812,434.8408455,475.2496513,546.846854,607.7649413,674.9316307
Barbados,BRB,378.5588318,402.5341031,417.006135,467.1731386,462.2766029,487.4508337,523.9581821,579.8595428,579.3884561,649.6757933,760.7096604,850.6065639,967.0125338,1172.094135,1392.990732,1637.145672,1768.077875,2003.482484,2233.040342,2701.773359,3458.409513,3792.106733,3944.873556,4168.230032,4521.058844,4709.476279,5148.34562,5645.571849,5981.243309,6589.334055,6591.249863,6480.357143,6083.037069,6266.975826,6575.397718,7057.831694,7504.234897,8270.322055,8891.221273,9253.343828,9565.401228,9523.726038,9211.257728,10003.67393,10461.31278,11108.9341,11771.84556,12551.45093,13484.51507,13181.34157,15034.88444
